duration;iterationCount;patternLength;textLength
1375;1209;236;1093
2083;2135;827;1661
6917;6718;2373;5500
3083;2920;830;3562
1708;1737;709;1551
5708;4893;1489;4327
334;234;25;218
6375;5636;2144;6705
500;452;141;3514
7292;5982;1445;8936
6916;6050;1225;6062
4875;4117;198;6216
7792;6777;2238;4513
1458;1185;347;976
5750;4732;164;5010
8834;6880;2649;5710
916;583;163;481
333;206;67;210
4042;3314;621;4596
1416;1013;29;1355
3250;3061;1225;3125
4375;3648;433;3324
834;659;197;464
3416;2209;701;2925
7417;7648;3343;8027
3458;3166;1283;2969
4625;3516;1722;4713
4292;4415;2138;5185
1375;830;70;6652
13417;11102;1964;9911
9708;7643;2882;8537
2166;1973;757;2011
2792;1875;459;2192
1667;1092;61;1176
750;504;23;642
8542;7243;3516;8324
13625;4050;1313;2737
8333;7104;2347;6433
4750;4395;1198;8628
3792;3807;1703;3849
8250;7688;2193;7548
20750;6968;2160;5240
8375;6953;2105;8796
4375;3574;604;2927
375;98;17;148
12709;11191;3717;8738
10833;9748;2508;9167
3833;3668;1174;6600
11834;9185;2812;7665
5709;4097;1947;4856
14291;12093;3993;9950
2083;2034;891;1866
1917;1532;83;3363
1625;1408;634;1627
7542;6947;1599;5760
3000;3200;1408;3899
1042;986;405;1255
375;227;59;198
1125;1093;454;1015
5834;4296;1056;5016
12625;11027;4715;9447
10709;9268;1794;9492
3458;2990;937;9117
3208;2233;1039;8959
6708;5703;1503;9749
2959;2792;1004;2675
3667;2584;1266;3291
28208;8665;981;9320
16375;6183;2294;5505
6750;2336;542;2437
9250;8931;4055;8592
1916;1469;240;2126
2875;2270;368;7466
2792;2489;488;4473
6667;4830;1015;5156
6875;6332;1730;6889
3875;2386;554;3676
7208;6164;2432;6798
333;43;21;158
9792;3363;944;2340
4000;1470;462;5096
9334;3407;986;4288
2792;915;305;727
9125;3067;1302;5251
15666;5613;595;7687
1166;346;130;665
7291;2263;942;3301
1542;470;141;398
36458;11246;2728;8835
6708;2276;168;4079
3417;1217;375;812
11542;9985;2189;9919
709;495;204;426
3875;3627;894;2678
2125;1898;626;3491
3958;3115;427;8437
10916;10903;3817;8519
2042;1840;567;3368
292;226;75;476
10334;9475;2597;6996
11375;10078;3096;8279
6958;6722;2213;7617
8333;7151;970;8111
1958;1981;955;3088
5166;5152;1750;9062
6541;5384;146;8292
4000;3811;948;3128
2583;1766;698;3007
6500;5050;1076;4924
2292;1403;479;2851
1542;1432;355;1322
2292;2170;682;1631
6750;6476;3054;9778
3375;1882;351;4812
5167;4511;957;5034
4167;2922;334;3802
3667;2449;708;2486
6791;5917;1328;6411
1083;797;332;933
3042;2962;1107;4171
875;745;176;3188
5375;5176;1597;4399
2958;2465;681;7093
5583;5778;2030;6622
1625;1379;68;2647
625;557;111;562
3042;3071;1344;3603
7042;5998;242;7591
500;280;116;259
1583;1217;60;3051
9250;8485;1835;7595
7459;5999;1632;6006
11458;10966;3894;9920
3000;2771;442;4358
667;529;115;1265
14375;13040;3713;9618
1000;701;128;786
10375;8784;1881;8129
5417;4525;450;9508
5833;5184;774;4630
9833;7274;2250;4830
6666;6575;2098;5752
1834;942;293;936
5000;5403;2551;5766
11916;10079;1962;8769
8083;6773;2094;7457
2083;2030;676;1721
1542;1427;260;1295
5375;5258;1803;4857
3625;2880;1345;7335
291;203;36;196
875;771;237;573
11875;10270;1889;9427
1459;1369;576;9938
5458;4831;803;4190
9042;7650;1753;6884
10292;8837;497;8784
958;738;34;3033
375;259;48;3034
833;562;273;2447
13125;8666;2318;6759
542;563;225;607
9000;7556;770;7406
3833;2470;569;5556
5250;4619;1477;4693
1708;1599;599;5322
1042;954;316;972
13542;1581;446;4766
14583;5848;2085;4528
4208;3464;442;6265
4000;4032;1407;3247
7375;6036;517;7757
16375;5373;659;8802
12625;8985;2964;9279
333;91;23;182
5958;4970;516;5417
8583;7512;1204;6325
10334;10108;2681;7953
8166;6743;1883;5611
4541;5051;2289;9698
458;286;31;394
2667;2749;1228;2842
8000;8142;2997;6404
8833;7449;2155;5496
11000;10389;2970;8341
1875;1904;739;2285
6542;6315;1505;9998
7708;5827;534;5257
10708;9211;2632;7095
375;324;96;811
4666;3896;1527;3139
1125;853;27;2453
6000;5562;1054;5040
5000;4453;675;4369
